"unitid","revenue","expenditure","enrollment","partic","women"
122791,370.949,370.949,1327.15384615385,177,0
122889,1823.083,1823.083,3215,654,0
122931,35237.151,36292.28,2711.69444444444,889,0
122977,2180.504,1915.902,5397.05882352941,699,0
123013,2335.376,1750.884,2925.02941176471,650,0
123217,825.523,750.746,2264.2,498,0
123299,911.532,911.532,1355.75862068966,427,0
123341,1282.113,1199.479,3066.8,366,0
123457,10543.296,14714.69,249.04347826087,388,0
123484,1011.259,1011.259,398.631578947368,326,0
123509,753.971,753.971,1257,222,0
123527,1480.242,1422.236,1826.66666666667,409,0
123554,28038.723,28038.723,1079.6,418,0
123563,680.473,680.464,1193.18181818182,113,0
123572,6737.444,6652.819,2875.6,337,0
123651,6821.53,6694.473,529.944444444444,541,0
123800,1266.075,1220.028,3312.6,489,0
123961,60905.476,66334.12,8996.2,870,0
124113,404.873,398.577,443,156,0
125028,1857.935,1754.403,1947.68965517241,540,0
125091,481.022,481.022,1639,256,0
125462,394.365,292.78,415.5,33,0
125471,679.006,679.006,1225,305,0
125499,1090.503,1090.503,1240.6,309,0
125727,7754.545,7778.308,506.380952380952,607,0
125763,3543.06,3363.042,713,851,0
126119,577.311,574.001,916.941176470588,249,0
126182,6454.891,6454.891,805.173913043478,1357,0
126580,7796.134,7777.175,3920.2,1038,0
126614,49884.027,47013.17,14758.8,702,0
126669,4575.393,4575.393,621.5,505,0
126678,5500.763,5552.775,956.705882352941,771,0
126711,425.17,425.17,779.6,31,0
126748,1738.113,1715.703,182.545454545455,147,0
126775,9162.625,9014.32,3224,1071,0
126818,32445.618,32445.618,10245.4,753,0
127060,47898.127,47898.127,2525.8,778,0
127185,6336.784,6202.537,1452.6,395,0
127389,1518.662,1427.889,186.2,208,0
127556,11110.733,11027.308,3365.10526315789,1564,0
127565,7126.69,7027.116,5833.8,521,0
127732,1737.492,1737.492,434.857142857143,231,0
127741,10732.809,10732.809,2888.4,580,0
127778,3092.563,3092.563,287.6,359,0
127918,6778.14,7021.327,841.6,325,0
128106,6547.613,6778.279,1564.2,886,0
128258,2536.098,2536.098,341.357142857143,287,0
128391,3711.693,3696.37,1075.8,806,0
128498,1001.642,1001.642,353.227272727273,366,0
128744,9001.277,8795.9,850.578947368421,335,0
128771,14319.54,12766.964,3983.38888888889,627,0
128902,7183.705,7183.705,679.033898305085,1369,0
129020,85355.15,86024.531,9033,1184,0
129215,3500.461,3500.461,1834.38095238095,731,0
129242,29565.898,29565.899,1553.6,916,0
129525,21672.204,21672.204,2189.16666666667,700,0
129774,1074.561,1069.031,330.047619047619,371,0
129941,6307.207,6177.576,2194.2,497,0
130183,9070.857,9001.44,944.970588235294,836,0
130226,40945.7,40945.7,2668.6,605,0
